ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default
522,variation,VG1W5D2MA56/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,465.00",,,,,,,id:521,,,,,,5,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
540,variation,VG1W5D2MA56/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,665.00",,,,,,,id:521,,,,,,23,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
558,variation,VG1W5D2MA56/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,940.00",,,,,,,id:521,,,,,,41,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
524,variation,VG1W5D3MA57/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,840.00",,,,,,,id:521,,,,,,7,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
542,variation,VG1W5D3MA57/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,040.00",,,,,,,id:521,,,,,,25,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
560,variation,VG1W5D3MA57/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,390.00",,,,,,,id:521,,,,,,43,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
523,variation,VG1W5D4MA60/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,590.00",,,,,,,id:521,,,,,,6,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
541,variation,VG1W5D4MA60/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,790.00",,,,,,,id:521,,,,,,24,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
559,variation,VG1W5D4MA60/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,190.00",,,,,,,id:521,,,,,,42,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
531,variation,VG1W6D2MA58/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,758.00",,,,,,,id:521,,,,,,14,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
549,variation,VG1W6D2MA58/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,998.00",,,,,,,id:521,,,,,,32,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
567,variation,VG1W6D2MA58/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,328.00",,,,,,,id:521,,,,,,50,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
533,variation,VG1W6D3MA59/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,208.00",,,,,,,id:521,,,,,,16,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
551,variation,VG1W6D3MA59/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,448.00",,,,,,,id:521,,,,,,34,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
569,variation,VG1W6D3MA59/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,868.00",,,,,,,id:521,,,,,,52,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
532,variation,VG1W6D4MA61/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,908.00",,,,,,,id:521,,,,,,15,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
550,variation,VG1W6D4MA61/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,148.00",,,,,,,id:521,,,,,,33,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
568,variation,VG1W6D4MA61/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,628.00",,,,,,,id:521,,,,,,51,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
525,variation,VG2W5D2MA40/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,930.00",,,,,,,id:521,,,,,,8,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
543,variation,VG2W5D2MA40/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,080.00",,,,,,,id:521,,,,,,26,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
561,variation,VG2W5D2MA40/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,880.00",,,,,,,id:521,,,,,,44,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
527,variation,VG2W5D3MA41/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,680.00",,,,,,,id:521,,,,,,10,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
545,variation,VG2W5D3MA41/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,980.00",,,,,,,id:521,,,,,,28,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
563,variation,VG2W5D3MA41/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,780.00",,,,,,,id:521,,,,,,46,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
526,variation,VG2W5D4MA44/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,180.00",,,,,,,id:521,,,,,,9,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
544,variation,VG2W5D4MA44/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,580.00",,,,,,,id:521,,,,,,27,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
562,variation,VG2W5D4MA44/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,380.00",,,,,,,id:521,,,,,,45,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
534,variation,VG2W6D2MA42/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,516.00",,,,,,,id:521,,,,,,17,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
552,variation,VG2W6D2MA42/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,696.00",,,,,,,id:521,,,,,,35,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
570,variation,VG2W6D2MA42/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,656.00",,,,,,,id:521,,,,,,53,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
536,variation,VG2W6D3MA43/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,416.00",,,,,,,id:521,,,,,,19,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
554,variation,VG2W6D3MA43/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,776.00",,,,,,,id:521,,,,,,37,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
572,variation,VG2W6D3MA43/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,736.00",,,,,,,id:521,,,,,,1,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
535,variation,VG2W6D4MA45/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3,816.00",,,,,,,id:521,,,,,,18,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
553,variation,VG2W6D4MA45/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,416.00",,,,,,,id:521,,,,,,36,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
571,variation,VG2W6D4MA45/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,256.00",,,,,,,id:521,,,,,,54,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
528,variation,VG3W5D2MA44/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,395.00",,,,,,,id:521,,,,,,11,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
546,variation,VG3W5D2MA44/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,620.00",,,,,,,id:521,,,,,,29,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
564,variation,VG3W5D2MA44/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,820.00",,,,,,,id:521,,,,,,47,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
530,variation,VG3W5D3MA45/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,520.00",,,,,,,id:521,,,,,,13,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
548,variation,VG3W5D3MA45/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,970.00",,,,,,,id:521,,,,,,31,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
566,variation,VG3W5D3MA45/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"7,170.00",,,,,,,id:521,,,,,,49,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
529,variation,VG3W5D4MA48/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,770.00",,,,,,,id:521,,,,,,12,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
547,variation,VG3W5D4MA48/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,370.00",,,,,,,id:521,,,,,,30,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
565,variation,VG3W5D4MA48/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"6,570.00",,,,,,,id:521,,,,,,48,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
537,variation,VG3W6D2MA46/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,274.00",,,,,,,id:521,,,,,,20,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
555,variation,VG3W6D2MA46/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,544.00",,,,,,,id:521,,,,,,38,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
573,variation,VG3W6D2MA46/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"6,894.00",,,,,,,id:521,,,,,,2,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
539,variation,VG3W6D3MA47/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"6,624.00",,,,,,,id:521,,,,,,22,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
557,variation,VG3W6D3MA47/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"7,164.00",,,,,,,id:521,,,,,,40,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
575,variation,VG3W6D3MA47/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"8,604.00",,,,,,,id:521,,,,,,4,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
538,variation,VG3W6D4MA49/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,724.00",,,,,,,id:521,,,,,,21,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
556,variation,VG3W6D4MA49/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"6,624.00",,,,,,,id:521,,,,,,39,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
574,variation,VG3W6D4MA49/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"7,884.00",,,,,,,id:521,,,,,,3,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
577,variation,VT1W5D2MA56/12,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,465.00",,,,,,,id:260,,,,,,5,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
595,variation,VT1W5D2MA56/15,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,665.00",,,,,,,id:260,,,,,,23,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
613,variation,VT1W5D2MA56/18,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,940.00",,,,,,,id:260,,,,,,41,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
579,variation,VT1W5D3MA57/12,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,840.00",,,,,,,id:260,,,,,,7,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
597,variation,VT1W5D3MA57/15,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,040.00",,,,,,,id:260,,,,,,25,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
615,variation,VT1W5D3MA57/18,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,390.00",,,,,,,id:260,,,,,,43,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
578,variation,VT1W5D4MA60/12,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,590.00",,,,,,,id:260,,,,,,6,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
596,variation,VT1W5D4MA60/15,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,790.00",,,,,,,id:260,,,,,,24,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
614,variation,VT1W5D4MA60/18,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,190.00",,,,,,,id:260,,,,,,42,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,
586,variation,VT1W6D2MA58/12,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,758.00",,,,,,,id:260,,,,,,14,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
604,variation,VT1W6D2MA58/15,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,998.00",,,,,,,id:260,,,,,,32,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
622,variation,VT1W6D2MA58/18,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,328.00",,,,,,,id:260,,,,,,50,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,
588,variation,VT1W6D3MA59/12,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,208.00",,,,,,,id:260,,,,,,16,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
606,variation,VT1W6D3MA59/15,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,448.00",,,,,,,id:260,,,,,,34,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
624,variation,VT1W6D3MA59/18,Vegetarian,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,868.00",,,,,,,id:260,,,,,,52,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,
